"diff_id","del","ins","mod","total","dummy"
"690",0,1,3,4,"dummy"
"692",0,1,0,1,"dummy"
"695",0,2,0,2,"dummy"
"696",0,1,0,1,"dummy"
"697",5,24,0,29,"dummy"
"698",0,1,0,1,"dummy"
"699",0,1,1,2,"dummy"
"701",0,0,0,0,"dummy"
"704",0,0,0,0,"dummy"
"706",0,0,1,1,"dummy"
"707",0,0,1,1,"dummy"
"708",0,0,2,2,"dummy"
"715",3,0,0,3,"dummy"
"716",0,1,0,1,"dummy"
"717",0,2,0,2,"dummy"
"718",0,0,2,2,"dummy"
"719",0,0,1,1,"dummy"
"721",2,7,2,11,"dummy"
"722",0,1,0,1,"dummy"
"723",1,0,0,1,"dummy"
"724",0,1,3,4,"dummy"
"725",0,1,0,1,"dummy"
"726",1,0,0,1,"dummy"
"730",0,1,0,1,"dummy"
"732",0,0,1,1,"dummy"
"734",0,0,1,1,"dummy"
"736",0,0,1,1,"dummy"
"737",29,2,1,32,"dummy"
"738",1,0,0,1,"dummy"
"740",2,0,0,2,"dummy"
"741",0,2,0,2,"dummy"
"742",1,0,0,1,"dummy"
"743",0,1,0,1,"dummy"
"744",1,3,0,4,"dummy"
"745",0,0,0,0,"dummy"
"746",0,0,0,0,"dummy"
"752",1,8,0,9,"dummy"
"754",0,1,1,2,"dummy"
"767",0,16,0,16,"dummy"
"768",2,1,0,3,"dummy"
"795",0,24,0,24,"dummy"
"796",0,1,0,1,"dummy"
"797",0,0,1,1,"dummy"
"798",0,0,1,1,"dummy"
"799",0,0,0,0,"dummy"
"800",0,0,0,0,"dummy"
"801",0,0,1,1,"dummy"
"813",0,0,1,1,"dummy"
"827",0,2,0,2,"dummy"
"848",0,5,0,5,"dummy"
"849",0,1,0,1,"dummy"
"850",0,2,0,2,"dummy"
"851",0,2,0,2,"dummy"
"852",0,0,1,1,"dummy"
"853",4,0,0,4,"dummy"
"854",0,0,1,1,"dummy"
"770",0,0,1,1,"dummy"
"771",0,0,1,1,"dummy"
"772",0,0,2,2,"dummy"
"773",26,3,7,36,"dummy"
"778",1,0,0,1,"dummy"
"779",0,1,2,3,"dummy"
"780",1,3,0,4,"dummy"
"781",0,0,1,1,"dummy"
"782",1,0,0,1,"dummy"
"783",0,1,0,1,"dummy"
"786",2,1,1,4,"dummy"
"787",0,3,0,3,"dummy"
"788",3,5,0,8,"dummy"
"789",0,4,0,4,"dummy"
"790",0,2,0,2,"dummy"
"791",0,1,1,2,"dummy"
"792",14,0,0,14,"dummy"
"793",0,1,0,1,"dummy"
"803",0,2,1,3,"dummy"
"804",0,2,0,2,"dummy"
"805",1,0,0,1,"dummy"
"806",2,0,2,4,"dummy"
"807",1,1,0,2,"dummy"
"808",2,0,0,2,"dummy"
"809",1,1,0,2,"dummy"
"810",1,0,0,1,"dummy"
"811",0,1,0,1,"dummy"
"815",1,5,1,7,"dummy"
"816",0,0,1,1,"dummy"
"825",2,0,0,2,"dummy"
"846",0,0,3,3,"dummy"
"856",0,0,2,2,"dummy"
"857",0,0,6,6,"dummy"
"858",0,1,0,1,"dummy"
"859",0,1,2,3,"dummy"
"864",1,2,0,3,"dummy"
"865",0,0,0,0,"dummy"
"866",0,1,0,1,"dummy"
"867",1,1,0,2,"dummy"
"868",52,57,7,116,"dummy"
"869",1,16,0,17,"dummy"
"870",5,1,3,9,"dummy"
"871",1,1,1,3,"dummy"
"872",6,5,1,12,"dummy"
"883",0,4,0,4,"dummy"
"885",13,1,1,15,"dummy"
"891",0,0,1,1,"dummy"
"892",0,0,1,1,"dummy"
"893",0,0,0,0,"dummy"
"894",1,0,0,1,"dummy"
"895",1,0,0,1,"dummy"
"896",0,0,0,0,"dummy"
"901",26,0,1,27,"dummy"
"904",2,2,0,4,"dummy"
"905",0,1,0,1,"dummy"
"906",1,0,0,1,"dummy"
"907",2,0,0,2,"dummy"
"908",0,0,1,1,"dummy"
"909",0,1,0,1,"dummy"
"910",0,0,1,1,"dummy"
"911",0,2,0,2,"dummy"
"912",0,0,1,1,"dummy"
"913",0,1,0,1,"dummy"
"914",0,0,0,0,"dummy"
"915",0,0,1,1,"dummy"
"916",0,0,0,0,"dummy"
"917",0,0,1,1,"dummy"
"920",0,0,1,1,"dummy"
"921",1,2,0,3,"dummy"
"933",0,1,0,1,"dummy"
"934",0,0,1,1,"dummy"
"939",0,2,0,2,"dummy"
"940",0,2,0,2,"dummy"
"941",4,1,0,5,"dummy"
"942",1,0,0,1,"dummy"
"943",0,0,0,0,"dummy"
"944",0,0,0,0,"dummy"
"945",0,0,0,0,"dummy"
"957",1,0,1,2,"dummy"
"960",0,1,0,1,"dummy"
"961",4,3,0,7,"dummy"
"962",1,8,0,9,"dummy"
"963",0,1,0,1,"dummy"
"964",4,12,0,16,"dummy"
"965",21,2,4,27,"dummy"
"1172",7,2,0,9,"dummy"
"1176",1,0,0,1,"dummy"
"1177",0,1,0,1,"dummy"
"1178",1,1,0,2,"dummy"
"1179",9,8,2,19,"dummy"
"1180",0,2,0,2,"dummy"
