repo_path,i_owner_type,i_stargazers,instructions,multi_process_tool,type
hangim/kcp-shadowsocks-docker,User,5,13,supervisord,entrypoint
300brand/ocular8.net,Organization,0,20,supervisord,entrypoint
ntfc/runit-with-docker,User,0,11,runit,entrypoint
igprof/igprof-io,Organization,0,7,supervisord,entrypoint
Kaniabi/gir,User,0,9,supervisord,entrypoint
piontec/gke-jenkins-docker,User,6,33,supervisord,entrypoint
B-Galati/dockerfiles,User,0,12,supervisord,entrypoint
bitherder/bitherder-docker-test,User,0,11,runit,entrypoint
GoogleCloudPlatform/jenkins-packer-agent,Organization,14,26,supervisord,entrypoint
izuolan/dockerfiles,User,7,20,supervisord,entrypoint
aescanero/elasticmmldap,User,0,10,supervisord,entrypoint
iainmckay/heliumd,User,1,24,supervisord,entrypoint
jack19861225/ciscodocker,User,0,15,supervisord,entrypoint
stackhub/service-haproxy,Organization,0,15,supervisord,entrypoint
vaporry/go-ethereum,Organization,0,18,supervisord,entrypoint
UKHomeOffice/docker-nginx-gateway,Organization,1,15,supervisord,entrypoint
vaporry/ethereum-dockers,Organization,0,15,supervisord,entrypoint
vaporry/ethereum-dockers,Organization,0,15,supervisord,entrypoint
b7alt/drupal,User,5,34,supervisord,entrypoint
EarthDollar/farmer,Organization,0,18,supervisord,entrypoint
ysaotome/docker-hubot-devhub,User,0,24,supervisord,entrypoint
kasperisager/vanilla-dockerized,User,8,7,supervisord,entrypoint
JamesLampton/piggybank-squeal,User,8,15,supervisord,entrypoint
kasperisager/vanilla-dockerized,User,8,8,supervisord,entrypoint
socketwench/hello_world,User,1,18,supervisord,entrypoint
benoit-g/baikal,User,1,16,supervisord,entrypoint
vaporry/ethereum-dockers,Organization,0,19,supervisord,entrypoint
Rohithzr/cloud9-auto,User,0,31,supervisord,entrypoint
gigablah/baseimage,User,7,7,s6,entrypoint
zooniverse/warehouse,Organization,0,14,supervisord,entrypoint
osrg/dockerfiles,Organization,9,8,supervisord,entrypoint
messyOne/elvenar_stats,User,0,27,supervisord,entrypoint
alexerm/dockerui-auth,User,5,13,supervisord,entrypoint
xiongjungit/docker-centos,User,2,16,supervisord,entrypoint
zooniverse/Talk-Api,Organization,2,18,supervisord,entrypoint
ruitiagocosta/veinteractive,User,0,19,supervisord,entrypoint
vgiannoul/docker_squared,User,0,19,supervisord,entrypoint
hirokazumiyaji/dockerfiles,User,0,6,supervisord,entrypoint
taeram/hearth,User,4,18,supervisord,entrypoint
kasperisager/vanilla-dockerized,User,8,29,supervisord,entrypoint
huyipow/docker-learing,User,0,16,supervisord,entrypoint
ethereum/ethereum-dockers,Organization,27,19,supervisord,entrypoint
joaodubas/dockerfiles,User,6,15,supervisord,entrypoint
zemogle/starinabox,User,2,10,supervisord,entrypoint
VilniusTechnology/docker-all-laravel-box,Organization,0,27,supervisord,entrypoint
kinow/nestor,User,1,23,supervisord,entrypoint
aescanero/elasticmmldap,User,0,25,supervisord,entrypoint
fadado/shed,User,6,6,supervisord,entrypoint
praveenkumar/DockerFiles,User,1,13,supervisord,entrypoint
gbour/wave,User,12,13,supervisord,entrypoint
zulumarketing/docker-postgresql,Organization,1,21,supervisord,entrypoint
agungf/cloud9-ide,User,11,19,supervisord,entrypoint
jervine/docker-centos-sabsickcouch,User,0,33,supervisord,entrypoint
HowieWang/100DockersTakeMeFly,User,0,19,supervisord,entrypoint
gigablah/alpine-base,User,1,8,s6,entrypoint
jessewei/c9-meanjs,User,0,19,supervisord,entrypoint
rosterloh/docker,User,0,21,supervisord,entrypoint
ncarlier/dockerfiles,User,20,28,supervisord,entrypoint
Juniper/container-networking-builder,Organization,3,30,supervisord,entrypoint
kolabdigital/workshop-27.02.2016,Organization,0,16,supervisord,entrypoint
mc-b/IoTKit,User,3,17,supervisord,entrypoint
ncarlier/dockerfiles,User,20,16,supervisord,entrypoint
squaremo/flux,Organization,85,8,supervisord,entrypoint
taeram/hearth,User,4,18,supervisord,entrypoint
floSoX/docker-pyload,User,0,28,supervisord,entrypoint
TeamHG-Memex/agnostic,Organization,3,14,supervisord,entrypoint
kasperisager/phpstack,User,802,19,supervisord,entrypoint
enil/alpine-supervisord-docker,User,9,6,supervisord,entrypoint
tsturzl/docker-ansible-LEMP,User,1,11,supervisord,entrypoint
taeram/hearth,User,4,16,supervisord,entrypoint
stackhub/service-nginx-lb,Organization,1,17,supervisord,entrypoint
gambol99/nginx-gateway,User,6,15,supervisord,entrypoint
ztombol/dockerfiles,User,1,8,supervisord,entrypoint
zooniverse/geordi,Organization,0,16,supervisord,entrypoint
egbertp/docker-apache2-php5-fpm,User,1,25,supervisord,entrypoint
Nekroze/drydock,User,17,12,supervisord,entrypoint
kasperisager/php-dockerized,User,802,19,supervisord,entrypoint
wuvt/wuvt-site,Organization,5,21,supervisord,entrypoint
behemphi/stack-haproxy,User,0,9,supervisord,entrypoint
nicescale/docker-training,Organization,262,16,supervisord,entrypoint
babiz/Dockerized-PHP-FPM-NGINX-MYSQL,User,0,15,supervisord,entrypoint
wolfeidau/iojs-dockerapp,User,0,19,runit,entrypoint
turret-io/golapa,User,13,9,supervisord,entrypoint
mike-douglas/docker-drupal,User,4,29,supervisord,entrypoint
jack19861225/ciscodocker,User,0,15,supervisord,entrypoint
aescanero/elasticmmldap,User,0,9,supervisord,entrypoint
levidehaan/dockerdroplet,User,0,46,supervisord,entrypoint
dalguete/docker,User,2,14,supervisord,entrypoint
b7alt/drupx,User,0,45,supervisord,entrypoint
Helgart/YASS,User,0,5,supervisord,entrypoint
Levino/letsencrypt-cert-service,User,15,11,supervisord,entrypoint
soilcurrency/go-ethereum,User,0,18,supervisord,entrypoint
ragnar-johannsson/coreos-pam-sshd,User,8,12,system.d,entrypoint
stackhub/service-nginx-lb,Organization,1,17,supervisord,entrypoint
vaporry/ethereum-dockers,Organization,0,15,supervisord,entrypoint
TomasMihalicka/php-docker-stack,User,1,24,supervisord,entrypoint
LCOGT/citsciportal,Organization,0,20,supervisord,entrypoint
hitsumabushi/docker-devhub,User,0,21,supervisord,entrypoint
nicholsn/ansible-role-virtuoso,User,0,7,supervisord,entrypoint
tanlinhnd/docker-fullstack-php,User,2,23,supervisord,entrypoint
aescanero/elasticmmldap,User,0,22,supervisord,entrypoint
ethereum/ethereum-dockers,Organization,27,15,supervisord,entrypoint
hall757/guacamole,User,5,4,monit,entrypoint
cagdascirit/docker-tomcat,User,0,20,supervisord,entrypoint
dalguete/docker,User,2,20,supervisord,entrypoint
praveenkumar/DockerFiles,User,1,19,supervisord,entrypoint
francescou/docker-alfresco,User,0,17,supervisord,entrypoint
taeram/hearth,User,4,16,supervisord,entrypoint
DuncSmith/docker,User,0,15,supervisord,entrypoint
squaremo/ambergreen,Organization,85,8,supervisord,entrypoint
dz0ny/docker-wpdev,User,121,21,supervisord,entrypoint
praveenkumar/DockerFiles,User,1,18,supervisord,entrypoint
Maluuba/docker-files,Organization,20,6,supervisord,entrypoint
de-wiring/containerspec,User,3,10,supervisord,entrypoint
bbriggs/docker-ngircd,User,0,8,supervisord,entrypoint
taeram/hearth,User,4,20,supervisord,entrypoint
keo/docker-ethereum,User,0,15,supervisord,entrypoint
myorb/emma,User,0,23,supervisord,entrypoint
zulumarketing/docker-rabbitmq,Organization,0,17,supervisord,entrypoint
AcalephStorage/dockerfiles,Organization,0,34,supervisord,entrypoint
silentnull/dockerfiles,User,0,11,supervisord,entrypoint
mc-b/IoTKit,User,3,15,supervisord,entrypoint
redpine42/docker,User,0,15,supervisord,entrypoint
BuiltLabs/maintenance-cli,Organization,0,14,supervisord,entrypoint
huyipow/docker-learing,User,0,16,supervisord,entrypoint
saintic/IPLibrary,User,1,10,supervisord,entrypoint
b7alt/drupx,User,0,47,supervisord,entrypoint
ethereum/ethereum-dockers,Organization,27,15,supervisord,entrypoint
taeram/hearth,User,4,16,supervisord,entrypoint
xiongjungit/docker-gitblog,User,1,45,supervisord,entrypoint
francescomalatesta/symfony-dockerized,User,1,19,supervisord,entrypoint
mckomo/Lighthouse-Service,User,2,16,supervisord,entrypoint
coolhacks/docker-hacks,Organization,3,11,supervisord,entrypoint
kurkku/slack-irc-bot-docker,User,0,16,supervisord,entrypoint
giantmonkey/docker-files,Organization,1,22,supervisord,entrypoint
ethereum/ethereum-dockers,Organization,27,15,supervisord,entrypoint
AntreasAntoniou/DeepClassificationBot,User,20,9,supervisord,entrypoint
sunnyluthra/wp-as-a-backend-docker-compose,User,4,17,supervisord,entrypoint
izuolan/dockerfiles,User,7,20,supervisord,entrypoint
huyipow/docker-learing,User,0,16,supervisord,entrypoint
friedrich-j/coreos,User,0,22,supervisord,entrypoint
nicescale/docker-training,Organization,262,16,supervisord,entrypoint
vaporry/ethereum-dockers,Organization,0,15,supervisord,entrypoint
mc-b/IoTKit,User,3,17,supervisord,entrypoint
gambol99/docker-images,User,4,7,supervisord,entrypoint
schlarpc/popcorn,User,0,44,supervisord,entrypoint
zooniverse/aggregation,Organization,8,11,supervisord,entrypoint
ncarlier/dockerfiles,User,20,21,supervisord,entrypoint
PexMor/toolbox,User,0,25,system.d,entrypoint
qlustor/docker-alpine-runit,Organization,0,8,runit,entrypoint
hivetech/hivy,Organization,1,24,supervisord,entrypoint
bkju/infrastructure_as_code,User,0,16,supervisord,entrypoint
SvenDowideit/dockerfiles,User,157,13,runit,entrypoint
dCache/dcache-docker,Organization,1,14,supervisord,entrypoint
huyipow/docker-learing,User,0,30,supervisord,entrypoint
hwuethrich/docker-images,User,47,7,supervisord,entrypoint
stackhub/service-haproxy,Organization,0,15,supervisord,entrypoint
ilkovich/php-dockerize,User,0,21,supervisord,entrypoint
johnafogarty4/docker-ttrss,User,0,7,supervisord,entrypoint
myorb/todoapp,User,0,23,supervisord,entrypoint
