repo_path,i_owner_type,i_stargazers,instructions,multi_process_tool,type
james-nesbitt/boch,User,1,42,supervisord,cmd
nlamirault/tchoupi,User,0,15,supervisord,cmd
reuteras/docker-kippo-graph,User,1,23,supervisord,cmd
thiswind/dnscrypt_dnsmasq,User,2,16,supervisord,cmd
ownport/docker-env,User,0,3,supervisord,cmd
marceloandrader/dockerfiles,User,0,5,supervisord,cmd
viliusl/docker-oracle-jdk6u26,User,0,20,supervisord,cmd
tomverelst/prommer,User,0,14,supervisord,cmd
xdevops/ibm-containers-emulator,Organization,3,25,supervisord,cmd
david-guenault/docker-projects,User,0,36,supervisord,cmd
brijeshakbari/edXconfiguration,User,0,9,supervisord,cmd
ukwa/wren,Organization,3,7,supervisord,cmd
jdgoldie/docker-tomcat7,User,0,11,supervisord,cmd
cui-liqiang/gitlab-development-kit,User,0,8,supervisord,cmd
jonjozwiak/Dockerfiles,User,0,34,supervisord,cmd
dafiti/docker-nginx-hhvm,Organization,1,28,supervisord,cmd
g1eagle/Docker_nginx,User,0,18,supervisord,cmd
dit4c/dockerfile-dit4c-container-base,Organization,0,15,supervisord,cmd
xdv/docker-fdb-server,Organization,0,19,supervisord,cmd
glenux/docker-basebox,User,0,13,supervisord,cmd
mdreem/docker_dns,User,0,9,supervisord,cmd
honza/wharf-ci,User,7,16,supervisord,cmd
waltermoreira/serfnode,User,2,19,supervisord,cmd
vberetti/ippevent-20-05-2014,User,2,28,supervisord,cmd
maci0/docker-freeipa-server,User,4,30,system.d,cmd
NIWA-Hideyuki/Fulcon-VirtualPlatform,User,0,23,system.d,cmd
larrycai/docker-postgresql,User,0,25,supervisord,cmd
binhex/arch-moviegrabber,User,1,15,supervisord,cmd
lemonlatte/docker-webvirtmgr,User,4,16,supervisord,cmd
raulcd/elk-docker,User,22,22,supervisord,cmd
autodesk-cloud/ci-ochopod,Organization,7,12,supervisord,cmd
david-guenault/docker-projects,User,0,38,supervisord,cmd
ChristianKniep/ubuntu-compute,User,0,24,supervisord,cmd
neich/fiware-docker,User,1,8,supervisord,cmd
zumbrunnen/docker-postgresql,User,5,15,supervisord,cmd
cmanzana/haproxy-marathon,User,0,9,supervisord,cmd
dnvriend/kafka-test,User,1,17,supervisord,cmd
xmaruto/mcord,User,0,14,supervisord,cmd
stamp711/dst-dedicated-server-docker,User,0,10,s6,cmd
savoirfairelinux/rekishi,Organization,1,14,supervisord,cmd
ironcross13/ICC-Subsonic,User,0,26,supervisord,cmd
hideakihal/docker-elasticsearch,User,0,49,supervisord,cmd
TripleDogDare/RadioWCSpy,User,0,32,supervisord,cmd
mfoo/thanks_ants,User,0,18,supervisord,cmd
MilordXU/DockerProxy,User,0,27,supervisord,cmd
kdelfour/btsync-docker,User,3,17,supervisord,cmd
eBay/Neutrino,Organization,211,19,supervisord,cmd
mattinclude/webuntumac,User,0,44,supervisord,cmd
avelino/docker-debian,User,0,13,supervisord,cmd
autodesk-cloud/ci-ochopod,Organization,7,6,supervisord,cmd
asm-products/runbook-ops,Organization,12,21,supervisord,cmd
Aquilent/drug-adverse-event-browser,Organization,1,24,supervisord,cmd
nhantran/docker-images,User,0,19,supervisord,cmd
nicholasjackson/blackpuppy-api-proxy,User,0,14,supervisord,cmd
anduintransaction/Dockerfiles,Organization,1,31,supervisord,cmd
davide/docker-orientdb,User,2,19,supervisord,cmd
REANNZ/faucet,Organization,31,20,supervisord,cmd
bretterknaller/Docker_Base,User,0,14,supervisord,cmd
HubSpot/Baragon,Organization,68,14,supervisord,cmd
nupic-community/nostradamIQ,Organization,15,11,supervisord,cmd
bryanheinz/docker-recipes,User,0,15,supervisord,cmd
snakeskin/docker_bamboo_server,User,0,7,supervisord,cmd
hyness/hbase-rest-standalone,User,1,18,supervisord,cmd
ariarijp/dockerfiles,User,1,16,supervisord,cmd
laikacultural/spaceport,Organization,4,27,supervisord,cmd
glimperop/vgw1,User,1,23,supervisord,cmd
LaCasemate/openlab-projects,Organization,0,34,supervisord,cmd
amaline/docker-images,User,1,7,supervisord,cmd
liufuyang/twitter_tesla,User,0,5,supervisord,cmd
Sitback/docker-containers,Organization,1,27,supervisord,cmd
pravka/arch-sonarr,User,0,17,supervisord,cmd
donysukardi/docker-frappe,User,2,16,supervisord,cmd
Runbook/runbook-ops,Organization,12,17,supervisord,cmd
abhijitsarkar/docker,User,0,18,supervisord,cmd
whlee21/docker,User,1,9,supervisord,cmd
att-innovate/charmander,Organization,53,39,supervisord,cmd
gigabeer/docker-puppetserver,User,0,12,supervisord,cmd
udomsak/thaiopensource-tut,User,0,27,supervisord,cmd
cosipov/district-insurance-sample,User,0,17,supervisord,cmd
koolay/dockers,User,0,11,s6,cmd
Runbook/runbook-ops,Organization,12,21,supervisord,cmd
gopheracademy/docker-hubot,Organization,1,16,supervisord,cmd
marios88/docker-httpd,User,0,8,supervisord,cmd
osipov/district-insurance-sample,User,4,17,supervisord,cmd
thomassnielsen/haproxy-docker-daemon,User,0,11,supervisord,cmd
Profideo/docker-images,Organization,0,33,supervisord,cmd
ariarijp/dockerfiles,User,1,11,supervisord,cmd
panubo/docker-monit,Organization,0,11,monit,cmd
DerMitch/perl-experiments,User,2,10,supervisord,cmd
