domse/docker-vdr;2;0
wrbutros/condominios;68;1
rxacevedo/clojure_webdev;51;1
kollegorna/kollegorna.se;162;0
eris-ltd/eris-db;91;1
Dahs81/sq;35;1
louisdorard/bml-base;334;1
dstroppa/ecs-demo-signup;50;1
helderco/docker-sentry;37;1
mopsalarm/pr0gramm-meta-rest;3;0
benoit-g/baikal;53;0
schacon/git-pulls;48;1
ClearMappingCo/popchange-web;15;0
allknowingfrog/lamp-docker;43;1
sfi-ru/nginx-proxy;27;0
AlfaTours/MEAN-Starter-App;2;0
hybridpro/Humurr;2;0
mats116/docker-rundeck;90;1
wearemolecule/worker_cleaner;4;0
atumachimela/invent;464;1
COMP308-AngularSurvey/Survey;2;0
minimum-hsu/docker-openfalcon-links;75;1
MovieCast/api;108;1
bwong199/jobBoard;449;1
tobegit3hub/standalone-hbase;339;0
Phaetec/pogo-cruncher;261;1
loziobiz/1o1-gameserver;2;0
liut/staffio;12;1
paulhilbert/ifc_mesh_extract;255;1
bradgessler/myapp;280;1
pedrohenriquerls/segmented_search;280;1
marco-c/mercurius;139;1
flysnob/glapp;2;0
nathanleclaire/tarzan;58;1
outstand/shipitron;206;1
raulr/nginx-wordpress-docker;17;1
bpeng/getnet-news-md;48;1
adsalpha/docker-mongo-config;36;1
rflnogueira/nginx-docker-image;45;1
spitfire-sidra/echo;48;1
nicholasvmoore/docker-nagios;29;1
aboutdotme/humblejs;72;1
fayizk1/dockerbox-proxy;56;1
appsflare/node-app;1;0
ChristianKniep/docker-foxserver;23;0
tenstartups/rpi-dhcpd-docker;5;0
jjamor/jekyll-env;170;1
Alidron/alidron-archiver-influxdb;31;1
kerryhatcher/python-docker;926;1
dylanlindgren/docker-sickbeard;54;1
vmware/docker-machine-driver-vmwareappcatalyst;43;1
skamayker/docker_mail;124;1
luiscape/hdx-monitor-comments;99;1
marcelomf/graojs;274;0
ontouchstart/otp-17;2733;1
joemccann/dillinger;139;1
spali/docker-shellinabox;33;1
Aomitayo/neo4j-docker;12;0
tuliosalvaro/docker-owncloud;90;1
takeshig/docker-gulp-static-web;108;1
hnakamur/libvmod-cookie-rpm;51;1
